States,Murder,Assault,Rape
Alabama,13.2,236,21.2
Alaska,10,263,44.5
Arizona,8.1,294,31
Arkansas,8.8,190,19.5
California,9,276,40.6
Colorado,7.9,204,38.7
Connecticut,3.3,110,11.1
Delaware,5.9,238,15.8
Florida,15.4,335,31.9
Georgia,17.4,211,25.8
Hawaii,5.3,46,20.2
Idaho,2.6,120,14.2
Illinois,10.4,249,24
Indiana,7.2,113,21
Iowa,2.2,56,11.3
Kansas,6,115,18
Kentucky,9.7,109,16.3
Louisiana,15.4,249,22.2
Maine,2.1,83,7.8
Maryland,11.3,300,27.8
Massachusetts,4.4,149,16.3
Michigan,12.1,255,35.1
Minnesota,2.7,72,14.9
Mississippi,16.1,259,17.1
Missouri,9,178,28.2
Montana,6,109,16.4
Nebraska,4.3,102,16.5
Nevada,12.2,252,46
New Hampshire,2.1,57,9.5
New Jersey,7.4,159,18.8
New Mexico,11.4,285,32.1
New York,11.1,254,26.1
North Carolina,13,337,16.1
North Dakota,0.8,45,7.3
Ohio,7.3,120,21.4
Oklahoma,6.6,151,20
Oregon,4.9,159,29.3
Pennsylvania,6.3,106,14.9
Rhode Island,3.4,174,8.3
South Carolina,14.4,279,22.5
South Dakota,3.8,86,12.8
Tennessee,13.2,188,26.9
Texas,12.7,201,25.5
Utah,3.2,120,22.9
Vermont,2.2,48,11.2
Virginia,8.5,156,20.7
Washington,4,145,26.2
West Virginia,5.7,81,9.3
Wisconsin,2.6,53,10.8
Wyoming,6.8,161,15.6
